sample_id,tic_id,label,n_sectors,flux_mean,flux_std,flux_median,flux_mad,flux_skew,flux_kurt,bls_period,bls_duration,bls_depth,bls_power,bls_snr,status,error
SAMPLE_001058,11521555,1,6,1.0000854,0.0017348205,1.0,0.0011456013,0.24073142,0.57238007,5.86768384192096,0.215,0.0011543212686951478,0.009084029629110268,8.666054518244323,success,
SAMPLE_003605,52420398,1,2,0.9995303,0.0055039455,1.0,0.0038942099,-0.33285508,-0.13995409,5.2366183091545775,0.135,0.010674263434442912,0.0387395659550809,9.195791341707533,success,
SAMPLE_005368,219189765,1,4,1.0043458,0.03537134,1.0,0.024790466,0.29109034,-0.42396927,14.927463731865933,0.215,0.03403714362603461,0.2710953522153182,5.712090501204181,success,
SAMPLE_004144,366631954,1,6,0.998859,0.0063885623,1.0,0.0026949048,-1.2042042,2.0586166,14.144072036018008,0.3,0.01637936587528643,0.05794926331892348,10.028887357197034,success,
SAMPLE_006277,371210825,0,6,1.0044135,0.018764453,1.0,0.0062080324,0.9080307,-0.07686329,14.455977988994496,0.3,0.011792404413982986,0.09004186920624421,5.306166584159155,success,
SAMPLE_003749,427041513,1,6,0.99996716,0.0068268576,1.0,0.004504621,-0.16897039,0.15997648,7.956728364182091,0.3,0.0055288613066076225,0.18373081131336857,4.8271141483129965,success,
SAMPLE_004078,37291237,1,1,0.99992406,0.004587821,1.0,0.0030896962,-0.043251418,0.07258558,11.01775887943972,0.3,0.0069068149572173426,0.0103040840563001,2.5977686908960322,success,
SAMPLE_004451,328513434,1,1,0.99959224,0.03196726,0.99999994,0.021500409,-0.15893933,0.17300677,1.7911455727863932,0.05,0.05674437467862529,0.5216276973422501,16.082199444699352,success,
SAMPLE_006862,399956873,0,9,1.0051961,0.015264751,1.0,0.0147153735,0.10445726,-1.293746,13.629064532266133,0.3,0.009650004400808331,0.10457666288270144,4.504677774595908,success,
SAMPLE_003185,45465399,1,5,1.0120786,0.033681124,1.0,0.028438926,0.16949175,-1.5171872,14.956478239119559,0.3,0.024354940706087326,0.4015714436115889,7.331838029458192,success,
SAMPLE_000420,86396382,1,8,0.99999064,0.008306715,1.0,0.005600691,-0.36418986,0.09209514,2.1828414207103553,0.105,0.013224878899682643,1.186941353800842,21.97423223084938,success,
SAMPLE_006483,463203560,0,3,1.0006309,0.008356798,1.0,0.008535862,0.12776986,-1.3752636,7.1008004002001,0.245,0.004085628785319459,0.011667961437430239,4.135102172538735,success,
